                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  1.273,                 0.7582,                 1.0723,                0.74842,                0.54541,                0.60869,                0.35962,                 1.2848,                0.71173,                 1.0774,               0.007492,               0.007492,               0.007492
                     78,                 1.2732,                0.75837,                 1.0747,                0.74834,                0.54778,                0.60935,                 0.3604,                 1.2846,                0.71143,                 1.0773,               0.007459,               0.007459,               0.007459
                     79,                 1.2718,                0.75707,                 1.0728,                0.72358,                0.56214,                0.60926,                 0.3605,                 1.2846,                0.71135,                 1.0771,               0.007426,               0.007426,               0.007426
                     80,                 1.2729,                0.75728,                 1.0729,                0.72638,                0.56195,                0.60959,                0.36051,                 1.2846,                0.71106,                 1.0768,               0.007393,               0.007393,               0.007393
                     81,                 1.2729,                0.75621,                 1.0715,                0.70655,                 0.5686,                0.60943,                0.36062,                 1.2846,                0.71081,                 1.0765,                0.00736,                0.00736,                0.00736
                     82,                 1.2714,                0.75603,                 1.0735,                0.70522,                0.56685,                0.60945,                 0.3604,                 1.2846,                0.71054,                 1.0765,               0.007327,               0.007327,               0.007327
                     83,                 1.2725,                0.75515,                 1.0717,                0.70331,                0.56633,                0.60963,                0.36121,                 1.2848,                0.71037,                 1.0762,               0.007294,               0.007294,               0.007294
                     84,                  1.272,                0.75563,                 1.0709,                0.70568,                0.56775,                0.61028,                0.36139,                 1.2848,                0.71015,                  1.076,               0.007261,               0.007261,               0.007261
                     85,                 1.2708,                0.75455,                 1.0734,                0.70852,                 0.5685,                0.61023,                0.36134,                 1.2847,                0.70994,                  1.076,               0.007228,               0.007228,               0.007228
                     86,                  1.271,                0.75414,                 1.0742,                0.71339,                0.56842,                0.60988,                0.36146,                 1.2847,                0.70971,                 1.0762,               0.007195,               0.007195,               0.007195
                     87,                 1.2696,                0.75335,                 1.0729,                0.71001,                0.56942,                   0.61,                0.36186,                 1.2847,                0.70946,                 1.0762,               0.007162,               0.007162,               0.007162
                     88,                 1.2701,                0.75331,                 1.0742,                0.70964,                0.56988,                0.61054,                0.36208,                 1.2847,                 0.7093,                 1.0764,               0.007129,               0.007129,               0.007129
                     89,                 1.2712,                 0.7524,                 1.0726,                0.70454,                0.57101,                 0.6111,                 0.3624,                 1.2846,                0.70903,                 1.0764,               0.007096,               0.007096,               0.007096
                     90,                 1.2703,                0.75214,                 1.0713,                 0.6848,                0.57213,                 0.6114,                0.36258,                 1.2847,                 0.7089,                 1.0764,               0.007063,               0.007063,               0.007063
                     91,                 1.2697,                0.75091,                 1.0709,                0.67444,                 0.5735,                0.61192,                0.36288,                 1.2848,                0.70866,                 1.0764,                0.00703,                0.00703,                0.00703
                     92,                 1.2682,                0.75042,                 1.0712,                0.68525,                0.57354,                0.61183,                0.36339,                 1.2849,                0.70842,                 1.0764,               0.006997,               0.006997,               0.006997
                     93,                  1.266,                0.74944,                 1.0715,                0.71605,                0.57406,                0.61316,                0.36339,                 1.2851,                0.70814,                 1.0765,               0.006964,               0.006964,               0.006964
                     94,                 1.2686,                0.74986,                 1.0706,                0.72383,                0.56534,                0.61366,                0.36404,                  1.285,                0.70776,                 1.0765,               0.006931,               0.006931,               0.006931
                     95,                 1.2673,                0.74881,                 1.0719,                0.72202,                0.56692,                0.61097,                0.36221,                  1.285,                0.70744,                 1.0765,               0.006898,               0.006898,               0.006898
                     96,                 1.2678,                 0.7487,                 1.0704,                0.64506,                 0.5704,                0.61135,                0.36225,                 1.2849,                0.70712,                 1.0763,               0.006865,               0.006865,               0.006865
                     97,                 1.2675,                0.74797,                 1.0696,                0.65497,                0.57197,                 0.6125,                0.36204,                 1.2852,                0.70705,                 1.0763,               0.006832,               0.006832,               0.006832
                     98,                 1.2646,                0.74706,                 1.0695,                0.66366,                0.56975,                0.61341,                0.36247,                 1.2852,                0.70685,                 1.0763,               0.006799,               0.006799,               0.006799
                     99,                 1.2648,                0.74624,                 1.0669,                 0.6272,                 0.5657,                 0.6123,                 0.3623,                  1.285,                0.70659,                  1.076,               0.006766,               0.006766,               0.006766
                    100,                 1.2665,                0.74662,                 1.0702,                0.64335,                 0.5732,                0.61394,                0.36299,                 1.2851,                0.70665,                 1.0761,               0.006733,               0.006733,               0.006733
                    101,                  1.266,                0.74639,                 1.0685,                0.63448,                0.58608,                0.61309,                0.36284,                 1.2851,                0.70642,                 1.0761,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2639,                0.74482,                 1.0671,                 0.6261,                0.58601,                0.61457,                0.36354,                 1.2853,                0.70617,                 1.0761,               0.006667,               0.006667,               0.006667
