                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.84286,                0.57603,                0.87478,                0.87436,                0.85028,                 0.9215,                 0.7038,                0.80501,                 0.5012,                0.86145,               0.007525,               0.007525,               0.007525
                     77,                0.84741,                0.57369,                 0.8675,                0.87249,                0.85332,                0.92307,                0.70248,                0.80639,                0.50152,                0.86138,               0.007492,               0.007492,               0.007492
                     78,                0.84277,                0.56556,                0.87054,                0.88035,                0.85251,                0.92376,                0.70278,                0.80237,                0.50155,                0.86027,               0.007459,               0.007459,               0.007459
                     79,                0.84162,                0.56042,                0.87264,                0.88596,                0.85262,                0.92615,                0.70548,                0.80233,                0.49608,                0.86118,               0.007426,               0.007426,               0.007426
                     80,                0.84306,                 0.5562,                0.87108,                 0.8867,                0.85168,                0.92722,                0.70796,                0.80305,                0.49165,                0.86034,               0.007393,               0.007393,               0.007393
                     81,                0.84693,                0.56195,                0.86898,                0.87868,                0.86348,                0.92845,                0.70665,                0.80773,                0.49112,                0.86061,                0.00736,                0.00736,                0.00736
                     82,                0.84897,                0.55088,                0.87083,                0.89143,                0.85889,                0.92962,                0.70958,                0.80455,                 0.4908,                0.86057,               0.007327,               0.007327,               0.007327
                     83,                0.83667,                 0.5476,                0.87096,                0.87484,                 0.8616,                0.92899,                0.70899,                0.80248,                0.48869,                0.86061,               0.007294,               0.007294,               0.007294
                     84,                0.84673,                0.55197,                0.86849,                0.88327,                0.86283,                0.93085,                0.70946,                0.80568,                0.48239,                0.86063,               0.007261,               0.007261,               0.007261
                     85,                0.83695,                 0.5498,                0.86781,                0.87745,                0.86685,                0.92947,                0.70787,                0.80489,                0.48556,                0.86058,               0.007228,               0.007228,               0.007228
                     86,                0.83467,                0.54114,                0.86953,                0.88673,                0.86138,                0.92906,                0.70892,                0.80644,                 0.4887,                0.85972,               0.007195,               0.007195,               0.007195
                     87,                 0.8264,                0.53754,                0.86458,                0.88496,                0.86805,                0.93082,                0.71074,                0.80519,                0.48535,                0.85971,               0.007162,               0.007162,               0.007162
                     88,                0.83747,                0.54288,                0.86329,                0.88841,                0.85694,                0.93054,                0.70961,                0.80147,                0.48362,                   0.86,               0.007129,               0.007129,               0.007129
                     89,                0.83836,                0.54149,                0.87142,                0.89094,                0.86112,                0.93107,                0.71016,                0.80021,                0.48256,                0.85935,               0.007096,               0.007096,               0.007096
                     90,                0.83418,                0.54571,                0.86995,                 0.8904,                0.86261,                0.93226,                0.71378,                0.79914,                0.48198,                0.85992,               0.007063,               0.007063,               0.007063
