                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2398,                0.82862,                  1.012,                 0.5334,                0.41329,                0.41147,                0.24051,                  1.439,                 1.0371,                  1.069,               0.007261,               0.007261,               0.007261
                     85,                 1.2458,                0.82947,                 1.0129,                0.53007,                0.41114,                0.41155,                0.24079,                 1.4353,                 1.0364,                 1.0677,               0.007228,               0.007228,               0.007228
                     86,                 1.2381,                0.82161,                 1.0124,                0.53978,                0.40773,                 0.4115,                0.24027,                 1.4356,                 1.0359,                  1.068,               0.007195,               0.007195,               0.007195
                     87,                 1.2457,                0.83001,                  1.014,                 0.5255,                  0.417,                0.41348,                 0.2418,                 1.4335,                 1.0318,                 1.0676,               0.007162,               0.007162,               0.007162
                     88,                 1.2386,                0.82104,                 1.0075,                0.52434,                0.41651,                0.41384,                0.24157,                 1.4326,                 1.0345,                 1.0671,               0.007129,               0.007129,               0.007129
                     89,                 1.2369,                 0.8228,                 1.0114,                0.51891,                0.42548,                0.41463,                0.24205,                 1.4345,                 1.0355,                 1.0671,               0.007096,               0.007096,               0.007096
                     90,                 1.2359,                0.81769,                 1.0097,                0.52732,                0.42461,                  0.415,                0.24272,                 1.4356,                 1.0351,                 1.0674,               0.007063,               0.007063,               0.007063
                     91,                 1.2321,                0.81494,                 1.0091,                0.52198,                0.42495,                0.41504,                0.24268,                 1.4332,                 1.0338,                 1.0666,                0.00703,                0.00703,                0.00703
                     92,                 1.2308,                0.81069,                  1.008,                0.53306,                0.41823,                0.41447,                 0.2425,                 1.4353,                 1.0365,                 1.0673,               0.006997,               0.006997,               0.006997
                     93,                 1.2306,                0.81061,                 1.0068,                0.52325,                0.42306,                0.41446,                0.24206,                 1.4374,                 1.0383,                 1.0677,               0.006964,               0.006964,               0.006964
                     94,                 1.2289,                 0.8063,                 1.0098,                0.52641,                0.42152,                0.41405,                 0.2422,                 1.4361,                 1.0379,                 1.0671,               0.006931,               0.006931,               0.006931
                     95,                 1.2233,                 0.8036,                 1.0047,                0.52852,                0.42043,                0.41516,                0.24333,                  1.434,                 1.0354,                 1.0671,               0.006898,               0.006898,               0.006898
                     96,                 1.2308,                0.80635,                 1.0084,                0.52298,                0.42314,                0.41485,                0.24285,                 1.4332,                  1.034,                 1.0666,               0.006865,               0.006865,               0.006865
                     97,                 1.2228,                 0.8015,                 1.0066,                0.52504,                0.42354,                0.41476,                0.24272,                 1.4323,                 1.0335,                 1.0661,               0.006832,               0.006832,               0.006832
                     98,                 1.2233,                0.79795,                 1.0033,                0.52339,                0.42506,                0.41556,                0.24292,                 1.4336,                 1.0327,                 1.0666,               0.006799,               0.006799,               0.006799
                     99,                 1.2152,                0.79142,                 1.0038,                 0.5351,                0.42019,                0.41629,                0.24334,                 1.4323,                 1.0326,                 1.0664,               0.006766,               0.006766,               0.006766
                    100,                 1.2158,                0.79269,                 1.0035,                0.53512,                0.41843,                0.41598,                0.24342,                 1.4326,                  1.035,                 1.0664,               0.006733,               0.006733,               0.006733
                    101,                 1.2244,                0.79764,                 1.0046,                0.53672,                0.41737,                0.41551,                0.24306,                 1.4329,                 1.0369,                 1.0666,                 0.0067,                 0.0067,                 0.0067
